1686615800.123888 client started (14849): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1686615800.123934 on Darwin 22.5.0 Darwin Kernel Version 22.5.0: Mon Apr 24 20:52:24 PDT 2023; root:xnu-8796.121.2~5/RELEASE_ARM64_T6000
1686615800.124177 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1686615800.129696 sending message 105 to peer 0x138048000 (22 bytes)
1686615800.129699 sending message 105 to peer 0x138048000 (14 bytes)
1686615800.129703 sending message 105 to peer 0x138048000 (17 bytes)
1686615800.129707 sending message 105 to peer 0x138048000 (33 bytes)
1686615800.129709 sending message 105 to peer 0x138048000 (15 bytes)
1686615800.129712 sending message 105 to peer 0x138048000 (43 bytes)
1686615800.129716 sending message 105 to peer 0x138048000 (24 bytes)
1686615800.129719 sending message 105 to peer 0x138048000 (28 bytes)
1686615800.129722 sending message 105 to peer 0x138048000 (23 bytes)
1686615800.129725 sending message 105 to peer 0x138048000 (774 bytes)
1686615800.129729 sending message 105 to peer 0x138048000 (19 bytes)
1686615800.129732 sending message 105 to peer 0x138048000 (20 bytes)
1686615800.129735 sending message 105 to peer 0x138048000 (22 bytes)
1686615800.129738 sending message 105 to peer 0x138048000 (20 bytes)
1686615800.129746 sending message 105 to peer 0x138048000 (25 bytes)
1686615800.129749 sending message 105 to peer 0x138048000 (57 bytes)
1686615800.129752 sending message 105 to peer 0x138048000 (18 bytes)
1686615800.129755 sending message 105 to peer 0x138048000 (19 bytes)
1686615800.129758 sending message 105 to peer 0x138048000 (21 bytes)
1686615800.129761 sending message 105 to peer 0x138048000 (54 bytes)
1686615800.129764 sending message 105 to peer 0x138048000 (33 bytes)
1686615800.129768 sending message 105 to peer 0x138048000 (61 bytes)
1686615800.129771 sending message 105 to peer 0x138048000 (8 bytes)
1686615800.129774 sending message 105 to peer 0x138048000 (41 bytes)
1686615800.129777 sending message 105 to peer 0x138048000 (30 bytes)
1686615800.129780 sending message 105 to peer 0x138048000 (37 bytes)
1686615800.129782 sending message 105 to peer 0x138048000 (34 bytes)
1686615800.129786 sending message 105 to peer 0x138048000 (92 bytes)
1686615800.129789 sending message 105 to peer 0x138048000 (35 bytes)
1686615800.129793 sending message 105 to peer 0x138048000 (35 bytes)
1686615800.129796 sending message 105 to peer 0x138048000 (33 bytes)
1686615800.129799 sending message 105 to peer 0x138048000 (39 bytes)
1686615800.129803 sending message 105 to peer 0x138048000 (34 bytes)
1686615800.129808 sending message 105 to peer 0x138048000 (11 bytes)
1686615800.129811 sending message 105 to peer 0x138048000 (8 bytes)
1686615800.129814 sending message 105 to peer 0x138048000 (32 bytes)
1686615800.129816 sending message 105 to peer 0x138048000 (10 bytes)
1686615800.129819 sending message 105 to peer 0x138048000 (26 bytes)
1686615800.129821 sending message 105 to peer 0x138048000 (16 bytes)
1686615800.129824 sending message 105 to peer 0x138048000 (60 bytes)
1686615800.129827 sending message 105 to peer 0x138048000 (69 bytes)
1686615800.129830 sending message 105 to peer 0x138048000 (22 bytes)
1686615800.129834 sending message 105 to peer 0x138048000 (46 bytes)
1686615800.129838 sending message 105 to peer 0x138048000 (28 bytes)
1686615800.129840 sending message 105 to peer 0x138048000 (61 bytes)
1686615800.129843 sending message 105 to peer 0x138048000 (62 bytes)
1686615800.129845 sending message 105 to peer 0x138048000 (60 bytes)
1686615800.129849 sending message 105 to peer 0x138048000 (12 bytes)
1686615800.129851 sending message 105 to peer 0x138048000 (22 bytes)
1686615800.129855 sending message 105 to peer 0x138048000 (25 bytes)
1686615800.129858 sending message 106 to peer 0x138048000 (0 bytes)
1686615800.129914 sending message 200 to peer 0x138048000 (4 bytes)
1686615800.129923 client loop enter
1686615800.129939 client_signal: Child exited: 20
1686615800.169556 peer 0x138048000 message 207
1686615800.169564 sending message 208 to peer 0x138048000 (0 bytes)
1686615821.882665 peer 0x138048000 message 203
1686615821.882707 sending message 205 to peer 0x138048000 (0 bytes)
1686615821.883029 peer 0x138048000 message 204
1686615821.883047 client loop exit
